Link,cout,propriete
Rumilly#1,285.0,costByTruck
Rumilly#3,439.0,costByTruck
Rumilly#10,601.0,costByTruck
Rumilly#13,635.0,costByTruck
Rumilly#14,982.0,costByTruck
Rumilly#16,864.81,costByTruck
Rumilly#17,,costByTruck
Rumilly#18,504.0,costByTruck
Rumilly#19,666.24,costByTruck
Rumilly#21,,costByTruck
Rumilly#22,1170.5,costByTruck
Rumilly#25,381.0,costByTruck
Rumilly#26,390.0,costByTruck
Rumilly#27,797.0000000000001,costByTruck
Rumilly#28,,costByTruck
Rumilly#29,,costByTruck
Rumilly#30,641.0000000000001,costByTruck
Rumilly#31,843.5000000000001,costByTruck
Rumilly#33,974.0,costByTruck
Rumilly#34,680.0,costByTruck
Rumilly#35,,costByTruck
Rumilly#37,775.0,costByTruck
Rumilly#38,262.0,costByTruck
Rumilly#39,,costByTruck
Rumilly#40,1072.5,costByTruck
Rumilly#42,,costByTruck
Rumilly#44,922.0,costByTruck
Rumilly#45,611.0000000000001,costByTruck
Rumilly#49,803.3842785198161,costByTruck
Rumilly#51,614.5,costByTruck
Rumilly#54,540.0,costByTruck
Rumilly#55,540.1225000000002,costByTruck
Rumilly#56,,costByTruck
Rumilly#57,585.2499999999999,costByTruck
Rumilly#59,758.5,costByTruck
Rumilly#60,,costByTruck
Rumilly#62,773.405,costByTruck
Rumilly#63,396.00000000000006,costByTruck
Rumilly#67,546.75,costByTruck
Rumilly#68,485.0,costByTruck
Rumilly#69,285.0,costByTruck
Rumilly#71,,costByTruck
Rumilly#72,870.0,costByTruck
Rumilly#74,,costByTruck
Rumilly#77,640.5,costByTruck
Rumilly#78,688.8017812429448,costByTruck
Rumilly#79,890.0,costByTruck
Rumilly#80,734.0,costByTruck
Rumilly#82,1065.0,costByTruck
Rumilly#83,758.5000000000001,costByTruck
Rumilly#84,519.0,costByTruck
Rumilly#85,880.0,costByTruck
Rumilly#86,851.0,costByTruck
Rumilly#91,648.0,costByTruck
Rumilly#92,,costByTruck
Rumilly#93,648.0,costByTruck
Rumilly#94,670.0,costByTruck
Rumilly#95,687.0,costByTruck
Rumilly#Anvers,737.5,costByTruck
Nan#Nan,,costByTruck
Rumilly#Duisburg,715.0,costByTruck
Rumilly#Fos,620.0,costByTruck
Rumilly#Ostende,711.0,costByTruck
Rumilly#Rugby,1781.93,costByTruck
Rumilly#Santes,802.0,costByTruck
Rumilly#Thionville,550.0,costByTruck
Rumilly#Worms,567.5,costByTruck
Rumilly#Zeebrugge,767.5,costByTruck
Salvetat#1,495.1,costByTruck
Salvetat#3,466.0,costByTruck
Salvetat#10,784.0,costByTruck
Salvetat#13,415.9,costByTruck
Salvetat#14,992.0,costByTruck
Salvetat#16,627.6,costByTruck
Salvetat#17,631.4999999999999,costByTruck
Salvetat#18,654.4,costByTruck
Salvetat#19,581.0,costByTruck
Salvetat#21,685.0,costByTruck
Salvetat#22,1059.9,costByTruck
Salvetat#25,660.0,costByTruck
Salvetat#26,413.5,costByTruck
Salvetat#27,956.3,costByTruck
Salvetat#28,826.0,costByTruck
Salvetat#29,,costByTruck
Salvetat#30,369.0,costByTruck
Salvetat#31,336.6,costByTruck
Salvetat#33,543.7499999999999,costByTruck
Salvetat#34,313.65,costByTruck
Salvetat#35,924.75,costByTruck
Salvetat#37,709.0,costByTruck
Salvetat#38,472.0,costByTruck
Salvetat#39,684.9000000000002,costByTruck
Salvetat#40,579.5,costByTruck
Salvetat#42,466.0,costByTruck
Salvetat#44,841.9499999999997,costByTruck
Salvetat#45,721.9999999999999,costByTruck
Salvetat#49,819.7,costByTruck
Salvetat#51,906.5,costByTruck
Salvetat#54,830.0,costByTruck
Salvetat#55,823.4,costByTruck
Salvetat#56,1057.0,costByTruck
Salvetat#57,880.0,costByTruck
Salvetat#59,924.38,costByTruck
Salvetat#60,906.0,costByTruck
Salvetat#62,939.15,costByTruck
Salvetat#63,397.8,costByTruck
Salvetat#67,819.9999999999999,costByTruck
Salvetat#68,797.2,costByTruck
Salvetat#69,470.6,costByTruck
Salvetat#72,863.96,costByTruck
Salvetat#74,599.0,costByTruck
Salvetat#76,996.0,costByTruck
Salvetat#77,788.95,costByTruck
Salvetat#78,792.4999999999999,costByTruck
Salvetat#79,676.3999999999999,costByTruck
Salvetat#80,893.5999999999997,costByTruck
Salvetat#82,350.39,costByTruck
Salvetat#83,523.8000000000002,costByTruck
Salvetat#84,381.6,costByTruck
Salvetat#85,811.0000000000001,costByTruck
Salvetat#86,667.0,costByTruck
Salvetat#87,551.9999999999999,costByTruck
Salvetat#89,678.0,costByTruck
Salvetat#91,791.75,costByTruck
Salvetat#94,787.4999999999999,costByTruck
Salvetat#95,787.5,costByTruck
Salvetat#Amberieu,506.4,costByTruck
Salvetat#Bretigny,772.1999999999997,costByTruck
Salvetat#Corbas,471.70000000000016,costByTruck
Salvetat#Grisolles,310.0,costByTruck
Salvetat#Macon,596.0,costByTruck
Salvetat#Rennes,941.5,costByTruck
Salvetat#StQuentinChesnes,487.3999999999999,costByTruck
Salvetat#Vinay,,costByTruck
Santes#27,505.0,costByTruck
Santes#59,200.0,costByTruck
Santes#62,200.0,costByTruck
Santes#68,580.0,costByTruck
Santes#77,400.0,costByTruck
Santes#78,400.0,costByTruck
Santes#91,475.0,costByTruck
Santes#94,475.0,costByTruck
Santes#95,,costByTruck
StQuentinChesnes#1,192.7,costByTruck
StQuentinChesnes#3,331.5,costByTruck
StQuentinChesnes#10,515.0,costByTruck
StQuentinChesnes#13,523.8,costByTruck
StQuentinChesnes#14,876.0,costByTruck
StQuentinChesnes#16,660.0,costByTruck
StQuentinChesnes#17,758.0,costByTruck
StQuentinChesnes#18,465.0,costByTruck
StQuentinChesnes#19,696.0,costByTruck
StQuentinChesnes#21,296.5,costByTruck
StQuentinChesnes#22,890.0,costByTruck
StQuentinChesnes#25,340.0,costByTruck
StQuentinChesnes#26,348.5,costByTruck
StQuentinChesnes#27,776.0,costByTruck
StQuentinChesnes#30,529.0,costByTruck
StQuentinChesnes#31,729.0,costByTruck
StQuentinChesnes#33,797.0,costByTruck
StQuentinChesnes#34,584.5,costByTruck
StQuentinChesnes#35,840.0,costByTruck
StQuentinChesnes#37,679.5,costByTruck
StQuentinChesnes#38,132.0,costByTruck
StQuentinChesnes#39,338.0,costByTruck
StQuentinChesnes#40,927.5,costByTruck
StQuentinChesnes#42,226.0,costByTruck
StQuentinChesnes#44,900.0,costByTruck
StQuentinChesnes#45,451.0,costByTruck
StQuentinChesnes#49,683.0,costByTruck
StQuentinChesnes#51,541.0,costByTruck
StQuentinChesnes#54,475.0,costByTruck
StQuentinChesnes#55,491.0,costByTruck
StQuentinChesnes#57,511.0,costByTruck
StQuentinChesnes#59,714.5,costByTruck
StQuentinChesnes#62,714.5,costByTruck
StQuentinChesnes#63,260.0,costByTruck
StQuentinChesnes#67,515.0,costByTruck
StQuentinChesnes#68,444.80000000000007,costByTruck
StQuentinChesnes#69,202.8,costByTruck
StQuentinChesnes#72,762.0,costByTruck
StQuentinChesnes#74,296.0,costByTruck
StQuentinChesnes#77,562.0,costByTruck
StQuentinChesnes#78,595.0,costByTruck
StQuentinChesnes#79,796.0,costByTruck
StQuentinChesnes#80,766.0,costByTruck
StQuentinChesnes#82,821.5,costByTruck
StQuentinChesnes#83,705.5,costByTruck
StQuentinChesnes#84,499.0,costByTruck
StQuentinChesnes#85,803.0,costByTruck
StQuentinChesnes#86,630.0,costByTruck
StQuentinChesnes#87,607.0,costByTruck
StQuentinChesnes#89,490.0,costByTruck
StQuentinChesnes#91,570.0,costByTruck
StQuentinChesnes#94,570.0,costByTruck
StQuentinChesnes#95,585.0,costByTruck
StQuentinChesnes#Amberieu,181.0,costByTruck
Thionville#Anvers,,costByTruck
Thionville#Bretigny,,costByTruck
Thionville#Evian,,costByTruck
Thionville#Ostende,,costByTruck
Vinay#10,,costByTruck
Vinay#13,517.0,costByTruck
Vinay#38,240.0,costByTruck
Vinay#42,278.0,costByTruck
Vinay#44,,costByTruck
Vinay#45,633.0,costByTruck
Vinay#51,663.0,costByTruck
Vinay#55,,costByTruck
Vinay#57,,costByTruck
Vinay#59,,costByTruck
Vinay#62,,costByTruck
Vinay#67,550.0,costByTruck
Vinay#68,490.0,costByTruck
Vinay#69,,costByTruck
Vinay#77,720.0,costByTruck
Vinay#Amberieu,341.5,costByTruck
Vinay#Anvers,,costByTruck
Vinay#Bretigny,672.5,costByTruck
Vinay#Fos,,costByTruck
Vinay#Ostende,,costByTruck
Vinay#Rugby,,costByTruck
Vinay#Zeebrugge,,costByTruck
Volvic#1,364.96,costByTruck
Volvic#2,640.0,costByTruck
Volvic#3,235.0,costByTruck
Volvic#7,,costByTruck
Volvic#10,426.0,costByTruck
Volvic#13,700.8,costByTruck
Volvic#14,862.4000000000003,costByTruck
Volvic#16,556.1,costByTruck
Volvic#17,557.0,costByTruck
Volvic#18,358.59999999999985,costByTruck
Volvic#19,440.0,costByTruck
Volvic#21,390.0,costByTruck
Volvic#22,933.22,costByTruck
Volvic#25,462.9,costByTruck
Volvic#26,480.2,costByTruck
Volvic#27,676.55,costByTruck
Volvic#28,574.0,costByTruck
Volvic#29,950.0,costByTruck
Volvic#30,667.2999999999997,costByTruck
Volvic#31,673.8000000000002,costByTruck
Volvic#33,597.8000000000002,costByTruck
Volvic#34,616.3,costByTruck
Volvic#35,761.9200000000003,costByTruck
Volvic#37,520.8,costByTruck
Volvic#38,321.0,costByTruck
Volvic#39,433.80000000000007,costByTruck
Volvic#40,728.9899999999999,costByTruck
Volvic#41,552.0,costByTruck
Volvic#42,247.0,costByTruck
Volvic#44,707.6700000000003,costByTruck
Volvic#45,406.00000000000006,costByTruck
Volvic#49,624.42,costByTruck
Volvic#51,559.69,costByTruck
Volvic#54,550.2,costByTruck
Volvic#55,569.1999999999998,costByTruck
Volvic#56,851.0,costByTruck
Volvic#57,554.0,costByTruck
Volvic#58,321.0,costByTruck
Volvic#59,661.75,costByTruck
Volvic#60,656.95,costByTruck
Volvic#62,622.6100000000001,costByTruck
Volvic#63,172.0,costByTruck
Volvic#67,619.0000000000001,costByTruck
Volvic#68,572.3000000000002,costByTruck
Volvic#69,316.2,costByTruck
Volvic#71,420.00000000000006,costByTruck
Volvic#72,660.5,costByTruck
Volvic#74,527.0,costByTruck
Volvic#76,878.4999999999999,costByTruck
Volvic#77,527.86,costByTruck
Volvic#78,572.8000000000002,costByTruck
Volvic#79,588.5,costByTruck
Volvic#80,630.25,costByTruck
Volvic#82,701.4499999999997,costByTruck
Volvic#83,853.6499999999999,costByTruck
Volvic#84,644.8000000000002,costByTruck
Volvic#85,667.1000000000001,costByTruck
Volvic#86,491.74999999999983,costByTruck
Volvic#87,465.0,costByTruck
Volvic#89,337.0,costByTruck
Volvic#91,514.54,costByTruck
Volvic#92,484.0,costByTruck
